;;;;;;;;;;Utility;Runtime;SuppressionLimit;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.95;0.35;0.05;5;30162;9;0.122010735;7193.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.375;0.05;5;30162;9;0.1284894419;7053.0;0.0;0.0;7.608262E-4;7.608262E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.4;0.05;5;30162;9;0.1461434932;6797.0;0.0;0.0;6.225293E-4;6.225293E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.425;0.05;5;30162;9;0.1700444174;6213.0;3.0;9.94629E-5;7.663392E-4;7.59427E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.45;0.05;5;30162;9;0.1700444174;6310.0;3.0;9.94629E-5;7.663392E-4;7.59427E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.475;0.05;5;30162;9;0.1706193049;6382.0;3.0;9.94629E-5;3.026221E-4;2.956019E-4;5.0
Adult;Loss;5-anonymity;RGR;0.95;0.5;0.05;5;30162;9;0.1706193049;6287.0;3.0;9.94629E-5;3.026221E-4;2.956019E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.0;0.05;5;30162;9;0.0517274163;58562.0;4.0;1.326172E-4;0.0010457917;0.0010354722;487.0
Adult;Loss;5-anonymity;RGR;0.99999;0.025;0.05;5;30162;9;0.052576408;140121.0;5.0;1.657715E-4;0.0010337472;0.0010208387;480.0
Adult;Loss;5-anonymity;RGR;0.99999;0.05;0.05;5;30162;9;0.0551598703;254263.0;0.0;0.0;9.802179E-4;9.802179E-4;471.0
Adult;Loss;5-anonymity;RGR;0.99999;0.075;0.05;5;30162;9;0.064454517;328740.0;0.0;0.0;0.0010794711;0.0010794711;438.0
Adult;Loss;5-anonymity;RGR;0.99999;0.1;0.05;5;30162;9;0.0717589675;150070.0;2.0;6.63086E-5;0.0012000219;0.0011949124;268.0
Adult;Loss;5-anonymity;RGR;0.99999;0.125;0.05;5;30162;9;0.0856594609;84811.0;1.0;3.31543E-5;0.0010263959;0.0010238984;187.0
Adult;Loss;5-anonymity;RGR;0.99999;0.15;0.05;5;30162;9;0.0884199065;24788.0;4.0;1.326172E-4;9.59107E-4;9.491117E-4;65.0
Adult;Loss;5-anonymity;RGR;0.99999;0.175;0.05;5;30162;9;0.1077312102;9447.0;3.0;9.94629E-5;8.883547E-4;8.808992E-4;24.0
Adult;Loss;5-anonymity;RGR;0.99999;0.2;0.05;5;30162;9;0.10855524;7318.0;4.0;1.326172E-4;8.674278E-4;8.574833E-4;14.0
Adult;Loss;5-anonymity;RGR;0.99999;0.225;0.05;5;30162;9;0.1087020489;7268.0;3.0;9.94629E-5;8.668415E-4;8.593838E-4;11.0
Adult;Loss;5-anonymity;RGR;0.99999;0.25;0.05;5;30162;9;0.122010735;6728.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.275;0.05;5;30162;9;0.122010735;7146.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.3;0.05;5;30162;9;0.122010735;7319.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.325;0.05;5;30162;9;0.122010735;7551.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
Adult;Loss;5-anonymity;RGR;0.99999;0.35;0.05;5;30162;9;0.122010735;7814.0;0.0;0.0;6.353758E-4;6.353758E-4;5.0
