;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;29000;9;0.1712936665;1240.0;1.0;3.44828E-5;0.0060046178;0.0059990107
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;29000;9;0.0552528784;9807.0;3.0;1.034483E-4;0.0200969132;0.0200664088
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30000;9;0.1713617973;1294.0;2.0;6.66667E-5;0.0060526508;0.0060418193
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30000;9;0.0540912295;10041.0;4.0;1.333333E-4;0.0198963112;0.019856862
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;1000;9;0.428586082;113.0;100.0;0.1;0.0101222222;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;1000;9;0.4058587498;628.0;157.0;0.157;0.0224669908;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;2000;9;0.3720420072;183.0;188.0;0.094;0.0101697382;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;2000;9;0.353374989;1009.0;326.0;0.163;0.0230290475;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;3000;9;0.3615057671;258.0;240.0;0.08;0.0087888395;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;3000;9;0.3397035849;1363.0;437.0;0.1456666667;0.0210063427;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;4000;9;0.3307962453;313.0;392.0;0.098;0.0116469915;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;4000;9;0.3274126571;1650.0;522.0;0.1305;0.0191532735;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;5000;9;0.3183050789;379.0;384.0;0.0768;0.0114755811;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;5000;9;0.3141270021;1912.0;658.0;0.1316;0.0192902838;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;6000;9;0.3124798164;436.0;417.0;0.0695;0.0104669188;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;6000;9;0.3016790127;2083.0;699.0;0.1165;0.017373823;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;7000;9;0.3051842033;492.0;458.0;0.0654285714;0.0080567722;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;7000;9;0.2925383734;2221.0;738.0;0.1054285714;0.0159197505;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;8000;9;0.2863919163;575.0;784.0;0.098;0.0149209174;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;8000;9;0.2863919163;2445.0;784.0;0.098;0.0149209174;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;9000;9;0.2801807653;595.0;815.0;0.0905555556;0.0139012607;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;9000;9;0.2801807653;2588.0;815.0;0.0905555556;0.0139012607;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;10000;9;0.2773797832;634.0;872.0;0.0872;0.013435537;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;10000;9;0.2773797832;2775.0;872.0;0.0872;0.013435537;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;11000;9;0.2749501134;731.0;927.0;0.0842727273;0.0130261511;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;11000;9;0.2749501134;2926.0;927.0;0.0842727273;0.0130261511;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;12000;9;0.2718660185;792.0;1135.0;0.0945833333;0.0123407616;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;12000;9;0.2716332419;3047.0;1725.0;0.14375;0.0222960299;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;13000;9;0.266126876;827.0;1141.0;0.0877692308;0.0115378761;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;13000;9;0.26334771;3169.0;1744.0;0.1341538462;0.0210408345;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;14000;9;0.2634429813;882.0;1183.0;0.0845;0.011147922;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;14000;9;0.2593436726;3237.0;1813.0;0.1295;0.0204200896;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;15000;9;0.260462655;896.0;1212.0;0.0808;0.0107028697;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;15000;9;0.2550043637;3345.0;1867.0;0.1244666667;0.0197398952;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;16000;9;0.2600216039;987.0;1285.0;0.0803125;0.0106439369;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;16000;9;0.2518851547;3439.0;1934.0;0.120875;0.0192489133;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;17000;9;0.2577865344;1003.0;1321.0;0.0777058824;0.0103276664;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;17000;9;0.2490182665;3556.0;1999.0;0.1175882353;0.0187955164;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;18000;9;0.2555584689;1132.0;1347.0;0.0748333333;0.0099768612;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;18000;9;0.2462775197;3658.0;2060.0;0.1144444444;0.0183581801;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;19000;9;0.2533065629;1115.0;1369.0;0.0720526316;0.0096350075;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;19000;9;0.2423700934;3721.0;2088.0;0.1098947368;0.0177189246;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;20000;9;0.2506102123;1239.0;1377.0;0.06885;0.0092385211;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;20000;9;0.238157354;3783.0;2100.0;0.105;0.0170228171;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;21000;9;0.2488768506;1239.0;1872.0;0.0891428571;0.0167129273;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;21000;9;0.237100722;3855.0;2179.0;0.1037619048;0.0168453654;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;22000;9;0.2462662792;1326.0;1895.0;0.0861363636;0.01620256;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;22000;9;0.2343292277;3909.0;2212.0;0.1005454545;0.0163817676;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;23000;9;0.2328037556;1189.0;2272.0;0.0987826087;0.0161260928;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;23000;9;0.2328037556;4014.0;2272.0;0.0987826087;0.0161260928;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;24000;9;0.2311712565;1336.0;2326.0;0.0969166667;0.0158542388;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;24000;9;0.2311712565;4080.0;2326.0;0.0969166667;0.0158542388;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;25000;9;0.2295551885;1361.0;2377.0;0.09508;0.0155854182;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;25000;9;0.2295551885;4178.0;2377.0;0.09508;0.0155854182;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;26000;9;0.2276577938;1451.0;2416.0;0.0929230769;0.0152681634;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;26000;9;0.2276577938;4256.0;2416.0;0.0929230769;0.0152681634;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;27000;9;0.2266465201;1627.0;2479.0;0.0918148148;0.0151044972;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;27000;9;0.2266465201;4375.0;2479.0;0.0918148148;0.0151044972;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;28000;9;0.2243216675;1581.0;2496.0;0.0891428571;0.0147080777;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;28000;9;0.2243216675;4452.0;2496.0;0.0891428571;0.0147080777;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;29000;9;0.2220517138;1631.0;2510.0;0.0865517241;0.0143211793;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;29000;9;0.2220517138;4497.0;2510.0;0.0865517241;0.0143211793;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30000;9;0.2214004324;1642.0;2574.0;0.0858;0.0142084795;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30000;9;0.2214004324;4545.0;2574.0;0.0858;0.0142084795;0.0
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;1000;9;0.2172483016;157.0;0.0;0.0;0.0439892585;0.0439892585
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;2000;9;0.1718430061;576.0;0.0;0.0;0.0357073225;0.0357073225
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;3000;9;0.1523621698;1453.0;0.0;0.0;0.0335980114;0.0335980114
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;4000;9;0.1358728601;2567.0;0.0;0.0;0.0322105607;0.0322105607
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;5000;9;0.1252343202;4221.0;0.0;0.0;0.0299899406;0.0299899406
