;;;;;Time;Utility;Suppressed;SuppressedRatio;Step;GeneralizationDegree1;GeneralizationDegree2;GeneralizationDegree3;GeneralizationDegree4;GeneralizationDegree5;GeneralizationDegree6;GeneralizationDegree7;GeneralizationDegree8;GeneralizationDegree9;GeneralizationVariance1;GeneralizationVariance2;GeneralizationVariance3;GeneralizationVariance4;GeneralizationVariance5;GeneralizationVariance6;GeneralizationVariance7;GeneralizationVariance8;GeneralizationVariance9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Fars;Loss;5-anonymity;RGR;0.1;5558.0;0.11992006347464994;38.0;3.7647245311431884E-4;2.0;0.6255129437173683;0.03207941587326748;0.35471961058217827;0.35471961058217827;3.7647245311431884E-4;0.0038935177387875606;0.35589195901073606;0.0021349950959509397;-0.1;0.009554267189821705;0.01794574093937531;0.00797588486194458;0.00797588486194458;0.004185808067442139;0.00767287632723842;0.009092203463367903;0.005056253639371111;-0.1
Fars;Loss;5-anonymity;RGR;0.1;5625.0;0.11986662562664148;3.0;2.972150945639359E-5;3.0;0.6255129437173683;0.03207941587326748;0.35471961058217827;0.3546040269342923;2.972150945639359E-5;0.0038935177387875606;0.35589195901073606;0.0021349950959509397;-0.1;0.009554267189821707;0.01794574093937531;0.00797588486194458;0.007865274465345512;0.0038393387670384283;0.00767287632723842;0.009092203463367905;0.005056253639371111;-0.1
Atus;Loss;5-anonymity;RGR;0.05;11882.0;0.09569470283133096;24177.0;0.04483424292493505;0.0;0.04483424292493505;0.6179336971699739;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.5224171214624675;0.36322282861662336;0.04483424292493505;0.04282413358628295;0.006851861373805275;0.04282413358628295;0.04282413358628295;0.04282413358628295;0.04282413358628295;0.01070603339657074;0.019032948260570202;0.04282413358628295
Atus;Loss;5-anonymity;RGR;0.05;15861.0;0.06988807168001318;649.0;0.0012035167166432083;1.0;0.0012035167166432083;0.6004814066866572;0.0012035167166432083;0.04483424292493505;0.02301887982078913;0.02301887982078913;0.5224171214624675;0.34867925321385945;0.02301887982078913;0.003120672360196686;4.993075776314676E-4;0.003120672360196686;0.04282413358628295;0.012995204488327626;0.012995204488327626;0.01070603339657074;0.005775646439256722;0.012995204488327626
Atus;Loss;5-anonymity;RGR;0.05;16146.0;0.06943578916450939;30.0;5.5632513866404085E-5;2.0;6.295746152548062E-4;0.6004814066866572;5.5632513866404085E-5;0.04483424292493505;0.022444937719400728;0.022444937719400728;0.5224171214624675;0.34867925321385945;0.022444937719400728;0.00226186211849037;4.993075776314676E-4;0.0019756771329292374;0.04282413358628296;0.01216140561942968;0.01216140561942968;0.010706033396570742;0.005775646439256722;0.01216140561942968
Atus;Loss;5-anonymity;RGR;0.05;16395.0;0.06942824100757909;0.0;0.0;3.0;6.017583583216041E-4;0.6004814066866572;6.588213099974411E-21;0.04483424292493505;0.022444937719400728;0.022444937719400728;0.5224171214624675;0.34867925321385945;0.022444937719400728;0.002220174303491906;4.993075776314676E-4;0.0019200508088438502;0.04282413358628296;0.01216140561942968;0.01216140561942968;0.010706033396570742;0.005775646439256722;0.01216140561942968
Atus;Loss;5-anonymity;RGR;0.1;12669.0;0.09569470283133096;24177.0;0.04483424292493505;0.0;0.04483424292493505;0.6179336971699739;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.04483424292493505;0.5224171214624675;0.36322282861662336;0.04483424292493505;0.04282413358628295;0.006851861373805275;0.04282413358628295;0.04282413358628295;0.04282413358628295;0.04282413358628295;0.01070603339657074;0.019032948260570202;0.04282413358628295
Atus;Loss;5-anonymity;RGR;0.1;17974.0;0.06992154881912592;1265.0;0.002345837668033372;1.0;0.002345837668033372;0.6094360161185935;0.002345837668033372;0.04483424292493505;0.023590040296484212;0.002345837668033372;0.5224171214624675;0.3490600268643228;0.023590040296484212;0.004255066088353917;0.0022079834233656344;0.004255066088353917;0.042824133586282946;0.01379989639603521;0.004255066088353917;0.010706033396570738;0.006133287287126759;0.01379989639603521
Atus;Loss;5-anonymity;RGR;0.1;18389.0;0.06895314086907924;89.0;1.650431244703321E-4;2.0;0.001255440396251852;0.6094360161185935;1.650431244703321E-4;0.04483424292493505;0.02249964302470269;0.001255440396251852;0.5224171214624675;0.3483330953498018;0.02249964302470269;0.0026273146165429542;0.0022079834233656344;0.0020852101299157206;0.042824133586282946;0.012218365484519642;0.0026273146165429542;0.010706033396570738;0.005430384659786506;0.012218365484519642
Atus;Loss;5-anonymity;RGR;0.1;18629.0;0.06891522439289206;6.0;1.1126502773280816E-5;3.0;0.001255440396251852;0.6094360161185935;1.1126502773280816E-5;0.04483424292493505;0.02249964302470269;0.0011784820854033263;0.5224171214624675;0.3483330953498018;0.022422684713854165;0.002627314616542954;0.0022079834233656344;0.0019313477346111947;0.042824133586282946;0.012218365484519642;0.0025120839102173134;0.010706033396570738;0.005430384659786507;0.012106404074429287
Atus;Loss;5-anonymity;RGR;0.1;18866.0;0.06891218811411318;0.0;0.0;4.0;0.0012443138934785712;0.6094360161185935;0.0;0.04483424292493505;0.02249964302470269;0.0011784820854033263;0.5224171214624675;0.3483330953498018;0.022411558211080884;0.002616216050782307;0.0022079834233656344;0.0019202214794346647;0.042824133586282946;0.012218365484519642;0.0025120839102173134;0.010706033396570738;0.005430384659786507;0.012095776538232876
Ihis;Loss;5-anonymity;RGR;0.05;82062.0;0.14900863997900207;56015.0;0.0469332318953267;0.0;0.8093866463790654;0.0469332318953267;0.0469332318953267;0.6823110772984422;0.7617333079738317;0.5234666159476633;0.0469332318953267;0.0469332318953267;0.0469332318953267;0.001789220145567447;0.044730503639186195;0.044730503639186195;0.004970055959909578;0.002795656477449137;0.011182625909796549;0.044730503639186195;0.044730503639186195;0.044730503639186195
Ihis;Loss;5-anonymity;RGR;0.05;88893.0;0.1195481716551636;1775.0;0.0014872174705740408;1.0;0.8002974434941149;0.0014872174705740408;0.0014872174705740408;0.6671624058235247;0.7503718043676435;0.4780206015229107;0.0014872174705740408;0.0469332318953267;0.0469332318953267;1.4328978986885037E-4;0.0035822447467212352;0.0035822447467212352;3.9802719408013756E-4;2.2389029667007682E-4;0.011314629994756067;0.0035822447467212352;0.04473050363918619;0.04473050363918619
Ihis;Loss;5-anonymity;RGR;0.05;89391.0;0.11891137377837138;11.0;9.21655897257152E-6;2.0;0.8000018433117946;9.21655897257152E-6;9.21655897257152E-6;0.6671624058235247;0.7500023041397431;0.4780206015229107;9.21655897257152E-6;0.0469332318953267;0.0469332318953267;8.434656030058635E-5;0.0021086640075146336;0.0021086640075146336;3.980271940801375E-4;1.3179150046966422E-4;0.011314629994756067;0.0021086640075146336;0.04473050363918619;0.04473050363918619
