;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.05;0.1;0.05;5.0;63441.0;8.0;0.12410355266152488;8074.8;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.15;0.05;5.0;63441.0;8.0;0.12410355266152488;8052.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.2;0.05;5.0;63441.0;8.0;0.12410355266152488;8042.0;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.25;0.05;5.0;63441.0;8.0;0.12410355266152488;7991.6;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.3;0.05;5.0;63441.0;8.0;0.12410355266152488;8262.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.35;0.05;5.0;63441.0;8.0;0.12410355266152488;8017.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.4;0.05;5.0;63441.0;8.0;0.12410355266152488;8244.8;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.45;0.05;5.0;63441.0;8.0;0.12410355266152488;8450.8;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.5;0.05;5.0;63441.0;8.0;0.12410355266152488;7794.2;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.1;0.0;0.05;5.0;63441.0;8.0;0.11301330892078014;8237.4;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.05;0.05;5.0;63441.0;8.0;0.11301330892078014;7935.6;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.1;0.05;5.0;63441.0;8.0;0.11301330892078014;8182.4;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.15;0.05;5.0;63441.0;8.0;0.11301330892078014;8087.0;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
Cup;Loss;5-anonymity;RGR;0.1;0.2;0.05;5.0;63441.0;8.0;0.11301330892078014;7994.2;3.0;4.728803139925285E-5;0.002792303236840338;0.002780938748624159
