;;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;0.05;0.03;0.05;5.0;63441.0;8.0;0.12410355266152488;7877.6;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.05;0.05;5.0;63441.0;8.0;0.12410355266152488;7816.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.08;0.05;5.0;63441.0;8.0;0.12410355266152488;7897.2;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.1;0.05;5.0;63441.0;8.0;0.12410355266152488;7938.8;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.13;0.05;5.0;63441.0;8.0;0.12410355266152488;7858.2;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.15;0.05;5.0;63441.0;8.0;0.12410355266152488;7879.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.17;0.05;5.0;63441.0;8.0;0.12410355266152488;7855.8;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.2;0.05;5.0;63441.0;8.0;0.12410355266152488;7911.6;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.3;0.05;5.0;63441.0;8.0;0.12410355266152488;8097.4;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
Cup;Loss;5-anonymity;RGR;0.05;0.4;0.05;5.0;63441.0;8.0;0.12410355266152488;8154.6;5.0;7.881338566542141E-5;0.0018695465300127086;0.0018514496996553964
