;;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;gsFactorStepSize;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.17;0.1;0.05;5.0;30162.0;9.0;0.15940669684642475;1352.4;1.0;3.315430011272462E-5;0.007781332973195169;0.007773926853627043
Adult;Loss;5-anonymity;RGR;0.17;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;2531.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.2;0.05;0.0;5.0;30162.0;9.0;0.154806231624223;1480.4;2.0;6.630860022544923E-5;0.012882924227852786;0.012868324169533178
Adult;Loss;5-anonymity;RGR;0.2;0.1;0.0;5.0;30162.0;9.0;0.154806231624223;1679.0;2.0;6.630860022544923E-5;0.012882924227852786;0.012868324169533178
Adult;Loss;5-anonymity;RGR;0.2;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;2806.2;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.2;0.05;0.05;5.0;30162.0;9.0;0.14355218423448368;1262.6;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.1;0.05;5.0;30162.0;9.0;0.14355218423448368;1477.2;1.0;3.315430011272462E-5;0.011296116524283717;0.011288640994857192
Adult;Loss;5-anonymity;RGR;0.2;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;2803.0;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.3;0.05;0.0;5.0;30162.0;9.0;0.14167100484519723;2400.2;3.0;9.946290033817386E-5;0.020829004232654155;0.020807196563948763
Adult;Loss;5-anonymity;RGR;0.3;0.1;0.0;5.0;30162.0;9.0;0.14167100484519723;2705.2;3.0;9.946290033817386E-5;0.020829004232654155;0.020807196563948763
Adult;Loss;5-anonymity;RGR;0.3;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;3752.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.3;0.05;0.05;5.0;30162.0;9.0;0.12311133116657018;1442.8;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.1;0.05;5.0;30162.0;9.0;0.12311133116657018;1969.2;3.0;9.946290033817386E-5;0.019002031863792884;0.01897840152883849
Adult;Loss;5-anonymity;RGR;0.3;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;3739.8;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.4;0.05;0.0;5.0;30162.0;9.0;0.13564574447974437;3511.2;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.4;0.1;0.0;5.0;30162.0;9.0;0.13564574447974437;4057.8;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
Adult;Loss;5-anonymity;RGR;0.4;0.5;0.0;5.0;30162.0;9.0;0.21310775428150958;4441.4;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.4;0.05;0.05;5.0;30162.0;9.0;0.10583318690949661;1765.8;0.0;0.0;0.020949286603491477;0.020949286603491477
Adult;Loss;5-anonymity;RGR;0.4;0.1;0.05;5.0;30162.0;9.0;0.10405745534616762;2672.0;2.0;6.630860022544923E-5;0.020194476170276955;0.020178038676161535
Adult;Loss;5-anonymity;RGR;0.4;0.5;0.05;5.0;30162.0;9.0;0.21310775428150958;4408.2;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
Adult;Loss;5-anonymity;RGR;0.5;0.05;0.0;5.0;30162.0;9.0;0.1454792116435893;4294.2;2.0;6.630860022544923E-5;0.03009198505674715;0.030077924319008822
Adult;Loss;5-anonymity;RGR;0.5;0.1;0.0;5.0;30162.0;9.0;0.13564574447974437;4561.4;2.0;6.630860022544923E-5;0.02744743516251923;0.027432615857704682
