;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;50-anonymity;RGR;0.1;0.5;50.0;63441.0;8.0;0.219393000251435;7891.0;28.0;4.4135495972635994E-4;0.005667481686147791;0.005592750298738568
Cup;Loss;50-anonymity;RGR;0.2;0.5;50.0;63441.0;8.0;0.219393000251435;8450.8;28.0;4.4135495972635994E-4;0.005667481686147791;0.005592750298738568
Cup;Loss;50-anonymity;RGR;0.3;0.5;50.0;63441.0;8.0;0.219393000251435;8981.4;28.0;4.4135495972635994E-4;0.005667481686147791;0.005592750298738568
Cup;Loss;50-anonymity;RGR;0.999;0.5;50.0;63441.0;8.0;0.219393000251435;27397.6;28.0;4.4135495972635994E-4;0.005667481686147791;0.005592750298738568
Adult;Loss;50-anonymity;Flash;0.05;0.5;50.0;30162.0;9.0;0.5028728976415537;721.6;1079.0;0.03577348982162987;0.004152025131659598;2.025167961488948E-26
Adult;Loss;50-anonymity;Flash;0.1;0.5;50.0;30162.0;9.0;0.43847434012765574;1041.8;2752.0;0.09124063391021815;0.010349117805044121;8.615292379137668E-27
Adult;Loss;50-anonymity;Flash;0.2;0.5;50.0;30162.0;9.0;0.396153279691322;1584.2;5124.0;0.16988263377760096;0.023804079833059624;1.454181467736283E-26
Adult;Loss;50-anonymity;Flash;0.3;0.5;50.0;30162.0;9.0;0.396153279691322;2080.0;5124.0;0.16988263377760096;0.023804079833059624;1.454181467736283E-26
Adult;Loss;50-anonymity;Flash;0.999;0.5;50.0;30162.0;9.0;0.396153279691322;6308.4;5124.0;0.16988263377760096;0.023804079833059624;1.454181467736283E-26
Cup;Loss;50-anonymity;Flash;0.05;0.5;50.0;63441.0;8.0;0.2624112690921138;6282.6;2150.0;0.033889755836131207;0.006216288259761313;6.781256900233495E-26
Cup;Loss;50-anonymity;Flash;0.1;0.5;50.0;63441.0;8.0;0.24908403679346192;7439.2;3904.0;0.06153749152756104;0.010451259604065231;7.066539413995235E-26
Cup;Loss;50-anonymity;Flash;0.2;0.5;50.0;63441.0;8.0;0.24908403679346192;8067.8;3904.0;0.06153749152756104;0.010451259604065231;7.066539413995235E-26
Cup;Loss;50-anonymity;Flash;0.3;0.5;50.0;63441.0;8.0;0.24908403679346192;8728.8;3904.0;0.06153749152756104;0.010451259604065231;7.066539413995235E-26
Cup;Loss;50-anonymity;Flash;0.999;0.5;50.0;63441.0;8.0;0.24908403679346192;27231.0;3904.0;0.06153749152756104;0.010451259604065231;7.066539413995235E-26
Adult;Loss;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;30162.0;9.0;0.23213540617383127;26941.0;67.0;0.0022213381075525496;0.040697977084215985;0.04037048769063656
Cup;Loss;50-anonymity;Tassa & Goldberger;0.0;0.5;50.0;63441.0;8.0;0.16947879389049794;85292.6;78.0;0.001229488816380574;0.013817594468190987;0.013586811678612127
