;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;0.05;0.6600000000000004;5.0;30162.0;9.0;0.2925002644589774;1719.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6700000000000004;5.0;30162.0;9.0;0.2925002644589774;1676.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6800000000000004;5.0;30162.0;9.0;0.2925002644589774;1712.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.6900000000000004;5.0;30162.0;9.0;0.2925002644589774;1712.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7000000000000004;5.0;30162.0;9.0;0.2925002644589774;1705.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7100000000000004;5.0;30162.0;9.0;0.2925002644589774;1726.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7200000000000004;5.0;30162.0;9.0;0.2925002644589774;1744.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7300000000000004;5.0;30162.0;9.0;0.2925002644589774;1790.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7400000000000004;5.0;30162.0;9.0;0.2925002644589774;1794.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7500000000000004;5.0;30162.0;9.0;0.2925002644589774;1820.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7600000000000005;5.0;30162.0;9.0;0.2925002644589774;1800.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7700000000000005;5.0;30162.0;9.0;0.2925002644589774;1904.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7800000000000005;5.0;30162.0;9.0;0.2925002644589774;1865.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.7900000000000005;5.0;30162.0;9.0;0.2925002644589774;1851.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8000000000000005;5.0;30162.0;9.0;0.2925002644589774;1879.0;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8100000000000005;5.0;30162.0;9.0;0.3295679166210244;1942.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8200000000000005;5.0;30162.0;9.0;0.3295679166210244;2011.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8300000000000005;5.0;30162.0;9.0;0.3295679166210244;2021.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8400000000000005;5.0;30162.0;9.0;0.3295679166210244;2062.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8500000000000005;5.0;30162.0;9.0;0.3295679166210244;1994.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8600000000000005;5.0;30162.0;9.0;0.3295679166210244;1981.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8700000000000006;5.0;30162.0;9.0;0.3295679166210244;2011.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8800000000000006;5.0;30162.0;9.0;0.3295679166210244;2059.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.8900000000000006;5.0;30162.0;9.0;0.3295679166210244;2071.0;828.0;0.027451760493335985;0.003517729961631811;2.1380058173371534E-27
Adult;Loss;5-anonymity;Flash;0.05;0.9000000000000006;5.0;30162.0;9.0;0.3875602652906587;2062.0;423.0;0.014024268947682515;0.0017258879389231837;1.535533844227346E-27
Adult;Loss;5-anonymity;Flash;0.05;0.9100000000000006;5.0;30162.0;9.0;0.3875602652906587;2083.0;423.0;0.014024268947682515;0.0017258879389231837;1.535533844227346E-27
Adult;Loss;5-anonymity;Flash;0.05;0.9200000000000006;5.0;30162.0;9.0;0.3875602652906587;2149.0;423.0;0.014024268947682515;0.0017258879389231837;1.535533844227346E-27
Adult;Loss;5-anonymity;Flash;0.05;0.9300000000000006;5.0;30162.0;9.0;0.3875602652906587;2172.0;423.0;0.014024268947682515;0.0017258879389231837;1.535533844227346E-27
Adult;Loss;5-anonymity;Flash;0.05;0.9400000000000006;5.0;30162.0;9.0;0.42340169831611335;2139.0;294.0;0.00974736423314104;0.0010036659775792944;1.3899931158646173E-27
Adult;Loss;5-anonymity;Flash;0.05;0.9500000000000006;5.0;30162.0;9.0;0.4699707618650346;2209.0;134.0;0.004442676215105099;4.974441093966821E-4;1.2793221623154404E-27
Adult;Loss;5-anonymity;Flash;0.05;0.9600000000000006;5.0;30162.0;9.0;0.4984689816723352;2220.0;73.0;0.0024202639082288972;2.9062297223115337E-4;2.12761904603548E-26
Adult;Loss;5-anonymity;Flash;0.05;0.9700000000000006;5.0;30162.0;9.0;0.4984689816723352;2214.0;73.0;0.0024202639082288972;2.9062297223115337E-4;2.12761904603548E-26
Adult;Loss;5-anonymity;Flash;0.05;0.9800000000000006;5.0;30162.0;9.0;0.5246839338358606;2209.0;44.0;0.0014587892049598833;1.4499173374456537E-4;2.1308372150547304E-26
Adult;Loss;5-anonymity;Flash;0.05;0.9900000000000007;5.0;30162.0;9.0;0.5783388330118355;2233.0;12.0;3.9785160135269546E-4;4.296069765727067E-5;2.1411144908192993E-26
Adult;Loss;5-anonymity;Flash;1.0;0.0;5.0;30162.0;9.0;0.7809348258737702;45.0;23470.0;0.7781314236456468;0.07155622389653565;0.0
Adult;Loss;5-anonymity;Flash;1.0;0.01;5.0;30162.0;9.0;0.548281939339217;117.0;16326.0;0.5412771036403422;0.09518787373707759;6.169832132641173E-29
Adult;Loss;5-anonymity;Flash;1.0;0.02;5.0;30162.0;9.0;0.548281939339217;176.0;16326.0;0.5412771036403422;0.09518787373707759;6.169832132641173E-29
Adult;Loss;5-anonymity;Flash;1.0;0.03;5.0;30162.0;9.0;0.45791584678638386;299.0;13462.0;0.4463231881174988;0.08924497151957032;1.1428653179268519E-27
Adult;Loss;5-anonymity;Flash;1.0;0.04;5.0;30162.0;9.0;0.45791584678638386;398.0;13462.0;0.4463231881174988;0.08924497151957032;1.1428653179268519E-27
Adult;Loss;5-anonymity;Flash;1.0;0.05;5.0;30162.0;9.0;0.45791584678638386;547.0;13462.0;0.4463231881174988;0.08924497151957032;1.1428653179268519E-27
Adult;Loss;5-anonymity;Flash;1.0;0.060000000000000005;5.0;30162.0;9.0;0.45791584678638386;677.0;13462.0;0.4463231881174988;0.08924497151957032;1.1428653179268519E-27
Adult;Loss;5-anonymity;Flash;1.0;0.07;5.0;30162.0;9.0;0.39180963697462623;857.0;11182.0;0.3707313838604867;0.08114014761692658;4.897348476775377E-27
