;;;;;Time;Utility;Suppressed;Step;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Cup;Loss;5-anonymity;RGR;1.0;67279.0;0.12328878999941208;27.0;2.0;0.8081272363298183;0.750654151101023;4.2559228259327563E-4;0.0015210983433426332;0.04063618164909128;0.26037184155356946;0.5007605491716713;0.250319194211945;-0.1
Cup;Loss;5-anonymity;RGR;1.0;67904.0;0.12319895759926536;7.0;3.0;0.8081272363298183;0.750654151101023;4.2559228259327563E-4;0.0013634715720117906;0.04063618164909128;0.26029302816790406;0.5006817357860059;0.25008275405494873;-0.1
Cup;Loss;5-anonymity;RGR;1.0;68466.0;0.12318310210916532;2.0;4.0;0.8081272363298183;0.750654151101023;4.2559228259327563E-4;0.0013634715720117906;0.04063618164909128;0.2602536214750713;0.5006226257467569;0.25008275405494873;-0.1
Cup;Discernibility;5-anonymity;RGR;0.02;1781.0;0.004475482706146746;97.0;0.0;1.0;0.0015289796819091754;1.0;0.0015289796819091754;1.0;1.0;1.0;1.0;-0.1
Cup;Discernibility;5-anonymity;RGR;0.02;1875.0;0.0029468041649167213;0.0;1.0;1.0;7.644898409545877E-4;1.0;7.644898409545877E-4;1.0;0.9988532652385681;0.9996177550795227;0.9988532652385681;-0.1
Cup;Discernibility;5-anonymity;RGR;0.05;3747.0;0.004475482706146746;97.0;0.0;1.0;0.0015289796819091754;1.0;0.0015289796819091754;1.0;1.0;1.0;1.0;-0.1
Cup;Discernibility;5-anonymity;RGR;0.05;3825.0;0.0029468041649167213;0.0;1.0;1.0;7.644898409545877E-4;1.0;7.644898409545877E-4;1.0;0.9988532652385681;0.9996177550795227;0.9988532652385681;-0.1
Cup;Discernibility;5-anonymity;RGR;0.1;6271.0;0.004475482706146746;97.0;0.0;1.0;0.0015289796819091754;1.0;0.0015289796819091754;1.0;1.0;1.0;1.0;-0.1
Cup;Discernibility;5-anonymity;RGR;0.1;6349.0;0.0029468041649167213;0.0;1.0;1.0;7.644898409545877E-4;1.0;7.644898409545877E-4;1.0;0.9988532652385681;0.9996177550795227;0.9988532652385681;-0.1
Cup;Discernibility;5-anonymity;RGR;1.0;145076.0;0.004475482706146746;97.0;0.0;1.0;0.0015289796819091754;1.0;0.0015289796819091754;1.0;1.0;1.0;1.0;-0.1
