;;;;;;K;Records;QIs;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;8.0;0.28621524943868065;654.0;1504.0;0.04986406736953783;0.008626679009035534;4.109290470348958E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;8.0;0.24600112110693256;796.1;2705.0;0.0896823818049201;0.015999064868394055;8.413257020964489E-27
Adult;Loss;5-anonymity;Flash;0.05;0.5;5.0;30162.0;9.0;0.2925002644589774;1174.9;1383.0;0.04585239705589815;0.007384830323262733;3.3317560875262176E-27
Adult;Loss;5-anonymity;Flash;0.1;0.5;5.0;30162.0;9.0;0.25510998050475;1649.7;2584.0;0.08567071149128042;0.014189075665854593;6.985861831998554E-27
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;1.0;1.1604005039451692E-4;200111.7;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;2.0;6.795831002622188E-4;37013.0;8.0;2.6523440090179694E-4;4.5844122220948787E-4;3.4093050733796144E-4
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;3.0;0.0016080764345778602;223337.6;0.0;0.0;0.0010402022573966843;0.0010402022573966843
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;4.0;0.0051726054718415;133997.8;0.0;0.0;0.0029701274495057043;0.0029701274495057043
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;5.0;0.01707676567776783;81090.6;8.0;2.6523440090179694E-4;0.00928957167001542;0.009188828104578946
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;6.0;0.025506837270273308;166382.2;0.0;0.0;0.01265472524547883;0.01265472524547883
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;7.0;0.0348788263406887;165844.2;0.0;0.0;0.015620480287284433;0.015620480287284433
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;8.0;0.06294094418044052;165953.2;0.0;0.0;0.02151304938535744;0.02151304938535744
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;0.5;5.0;30162.0;9.0;0.06949614054070949;163492.0;0.0;0.0;0.021542446094438044;0.021542446094438044
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;1000.0;9.0;0.4684374984581413;125.4;0.0;0.0;0.004994487654321022;0.004994487654321022
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;2000.0;9.0;0.4026102302731712;196.6;0.0;0.0;0.005742585370370422;0.005742585370370422
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;3000.0;9.0;0.39427072511004574;275.4;1.0;3.333333333333333E-4;0.0035809608196160714;0.0035447698848253164
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;4000.0;9.0;0.34791525755563396;337.0;1.0;2.5E-4;0.0034524392052471295;0.00342216038791401
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;5000.0;9.0;0.35309285697514226;402.2;1.0;2.0E-4;0.004751744581481599;0.004722447162806776
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;6000.0;9.0;0.35019333524882135;460.0;0.0;0.0;0.004291444666495035;0.004291444666495035
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;7000.0;9.0;0.33489154966970575;518.2;0.0;0.0;0.002368914011085835;0.002368914011085835
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;8000.0;9.0;0.29354259079904194;629.0;0.0;0.0;0.00613238913531986;0.00613238913531986
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;9000.0;9.0;0.2911577821406957;642.0;2.0;2.2222222222222223E-4;0.005575485596707735;0.005541831349591329
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;10000.0;9.0;0.2879202326051533;684.8;2.0;2.0E-4;0.005153384661728983;0.00512279787720148
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;11000.0;9.0;0.28841234551871275;783.8;4.0;3.636363636363636E-4;0.005210755050250271;0.0051552253997521474
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;12000.0;9.0;0.2711660025461879;869.6;0.0;0.0;0.003767102296596914;0.003767102296596914
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;13000.0;9.0;0.2672162915556942;902.2;0.0;0.0;0.0031669689310758423;0.0031669689310758423
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;14000.0;9.0;0.26817491414723316;952.8;0.0;0.0;0.002950646913423114;0.002950646913423114
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;15000.0;9.0;0.262789767759489;975.8;3.0;2.0E-4;0.0034916684340184356;0.0034649881804033316
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;16000.0;9.0;0.2629120311182258;1072.6;0.0;0.0;0.0034868427554737955;0.0034868427554737955
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;17000.0;9.0;0.2613250294594528;1095.8;0.0;0.0;0.0033202801506897767;0.0033202801506897767
Adult;Loss;5-anonymity;RGR;0.1;0.5;5.0;18000.0;9.0;0.2623408622518735;1228.4;0.0;0.0;0.0026329198939751657;0.0026329198939751657
