;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Atus;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;539253;9;0.061219458;17470.0;0.0;0.0;0.0012260927;0.0012260927;8.0
Atus;Loss;10-anonymity;RGR;0.2;0.0;0.05;10;539253;9;0.0351357415;14543.0;0.0;0.0;0.0012832295;0.0012832295;17.0
Atus;Loss;10-anonymity;RGR;0.3;0.0;0.05;10;539253;9;0.0305104631;19084.0;7.0;1.29809E-5;0.0017396403;0.0017388461;23.0
Atus;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;539253;9;0.0184015669;111461.0;2.0;3.7088E-6;0.0014764515;0.001476219;275.0
Atus;Loss;10-anonymity;RGR;0.99999;0.0;0.05;10;539253;9;0.0172921187;1476628.0;6.0;1.11265E-5;0.0014861699;0.0014854735;1244.0
Ihis;Loss;10-anonymity;RGR;0.05;0.0;0.05;10;1193504;9;0.1205142773;71482.0;0.0;0.0;7.05971E-5;7.05971E-5;4.0
Ihis;Loss;10-anonymity;RGR;0.1;0.0;0.05;10;1193504;9;0.1069302681;69768.0;0.0;0.0;7.076569E-4;7.076569E-4;5.0
Ihis;Loss;10-anonymity;RGR;0.2;0.0;0.05;10;1193504;9;0.0588221797;67971.0;7.0;5.8651E-6;7.7013E-5;7.64939E-5;8.0
Ihis;Loss;10-anonymity;RGR;0.3;0.0;0.05;10;1193504;9;0.0503784463;71930.0;5.0;4.1893E-6;2.846709E-4;2.843049E-4;10.0
Ihis;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;1193504;9;0.0327582979;431087.0;0.0;0.0;4.231342E-4;4.231342E-4;127.0
Ihis;Loss;10-anonymity;RGR;0.99999;0.0;0.05;10;1193504;9;0.0314624457;3799909.0;9.0;7.5408E-6;7.215326E-4;7.208824E-4;1119.0
Adult;Loss;10-anonymity;Flash;1.0;0.5;0.0;10;30162;9;0.2621056283;5537.0;4008.0;0.1328824349;0.0082828737;0.0;2.0
Cup;Loss;10-anonymity;Flash;1.0;0.5;0.0;10;63441;8;0.1759391395;87853.0;5127.0;0.0808152457;0.0010212359;0.0;2.0
Fars;Loss;10-anonymity;Flash;1.0;0.5;0.0;10;100937;8;0.1824133903;19162.0;5520.0;0.0546875774;0.00145852;9.047E-7;4.0
Atus;Loss;10-anonymity;Flash;1.0;0.5;0.0;10;539253;9;0.1099487364;23926.0;34554.0;0.0640775295;0.0043410738;6.20377E-4;6.0
Ihis;Loss;10-anonymity;Flash;1.0;0.5;0.0;10;1193504;9;0.150705442;257518.0;32911.0;0.0275751066;0.0023630025;0.0;2.0
Adult;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;30162;9;0.3415160613;1076.0;0.0;0.0;2.432896E-4;2.432896E-4;3.0
Adult;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;30162;9;0.2822142191;1295.0;0.0;0.0;5.157255E-4;5.157255E-4;3.0
Adult;Loss;25-anonymity;RGR;0.2;0.0;0.05;25;30162;9;0.2134557857;1380.0;20.0;6.63086E-4;6.300431E-4;5.880393E-4;5.0
Adult;Loss;25-anonymity;RGR;0.3;0.0;0.05;25;30162;9;0.18332058;1443.0;32.0;0.0010609376;0.002001599;0.0019320306;6.0
Adult;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;30162;9;0.1150082405;13508.0;23.0;7.625489E-4;0.0019121156;0.0018563902;73.0
Adult;Loss;25-anonymity;RGR;0.99999;0.0;0.05;25;30162;9;0.1105120682;56952.0;34.0;0.0011272462;0.0020036626;0.0019212641;243.0
Cup;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;63441;8;0.1928814836;8109.0;4.0;6.30507E-5;1.313115E-4;1.304865E-4;4.0
Cup;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;63441;8;0.1706340692;8495.0;23.0;3.625416E-4;3.2547E-5;3.03714E-5;4.0
Cup;Loss;25-anonymity;RGR;0.2;0.0;0.05;25;63441;8;0.1521986885;9432.0;12.0;1.891521E-4;0.0014122326;0.0014105321;6.0
Cup;Loss;25-anonymity;RGR;0.3;0.0;0.05;25;63441;8;0.1289976219;10663.0;24.0;3.783043E-4;9.053041E-4;9.016931E-4;7.0
Cup;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;63441;8;0.1134463409;72125.0;11.0;1.733894E-4;8.03855E-4;8.021326E-4;57.0
Cup;Loss;25-anonymity;RGR;0.99999;0.0;0.05;25;63441;8;0.1128808778;185138.0;21.0;3.310162E-4;7.79029E-4;7.757024E-4;121.0
Fars;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;100937;8;0.2015359602;4596.0;9.0;8.91645E-5;1.606624E-4;1.584022E-4;4.0
Fars;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;100937;8;0.1626237931;4619.0;9.0;8.91645E-5;1.197424E-4;1.174337E-4;7.0
Fars;Loss;25-anonymity;RGR;0.2;0.0;0.05;25;100937;8;0.1412665103;5233.0;18.0;1.783291E-4;5.704883E-4;5.65392E-4;6.0
Fars;Loss;25-anonymity;RGR;0.3;0.0;0.05;25;100937;8;0.1225991116;5642.0;0.0;0.0;6.978362E-4;6.978362E-4;8.0
Fars;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;100937;8;0.0688643034;32681.0;0.0;0.0;4.849811E-4;4.849811E-4;82.0
Fars;Loss;25-anonymity;RGR;0.99999;0.0;0.05;25;100937;8;0.0669987197;136671.0;15.0;1.486075E-4;5.6771E-4;5.633633E-4;271.0
Atus;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;539253;9;0.14064661;19557.0;24.0;4.4506E-5;9.761273E-4;9.744332E-4;6.0
Atus;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;539253;9;0.0837209299;18483.0;32.0;5.93413E-5;0.0014019585;0.0013986755;9.0
Atus;Loss;25-anonymity;RGR;0.2;0.0;0.05;25;539253;9;0.0589831678;21257.0;12.0;2.2253E-5;0.0023650247;0.0023637848;15.0
Atus;Loss;25-anonymity;RGR;0.3;0.0;0.05;25;539253;9;0.0467117654;19512.0;10.0;1.85442E-5;0.0028529898;0.0028519333;20.0
Atus;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;539253;9;0.0292565054;166445.0;8.0;1.48353E-5;0.0018974016;0.0018965017;242.0
Atus;Loss;25-anonymity;RGR;0.99999;0.0;0.05;25;539253;9;0.027299438;1883976.0;8.0;1.48353E-5;0.0018294255;0.001828522;914.0
Ihis;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;1193504;9;0.1556319551;74742.0;0.0;0.0;3.381116E-4;3.381116E-4;4.0
Ihis;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;1193504;9;0.127413992;79430.0;0.0;0.0;7.12785E-5;7.12785E-5;5.0
Ihis;Loss;25-anonymity;RGR;0.2;0.0;0.05;25;1193504;9;0.097594163;78893.0;8.0;6.703E-6;0.001124905;0.0011243698;7.0
Ihis;Loss;25-anonymity;RGR;0.3;0.0;0.05;25;1193504;9;0.0774803825;79360.0;20.0;1.67574E-5;7.047381E-4;7.033174E-4;9.0
Ihis;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;1193504;9;0.0501288491;661983.0;0.0;0.0;7.004958E-4;7.004958E-4;113.0
Ihis;Loss;25-anonymity;RGR;0.99999;0.0;0.05;25;1193504;9;0.0486836383;5835238.0;0.0;0.0;0.001152932;0.001152932;901.0
