;;;;;Time;Generalization degree;Generalization degree 1;Generalization degree 2;Generalization degree 3;Generalization degree 4;Generalization degree 5;Generalization degree 6;Generalization degree 7;Generalization degree 8;Generalization degree 9
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value;Value
Fars;Loss;5-anonymity;RGR;0.1;7506.0;0.6666666666666666;1.0;0.5;0.6666666666666666;0.6666666666666666;0.0;1.0;1.0;0.5;-0.1
Fars;Loss;5-anonymity;RGR;0.1;7575.0;0.8333333333333333;1.0;1.0;1.0;0.6666666666666666;0.0;1.0;1.0;1.0;-0.1
Fars;Loss;5-anonymity;RGR;1.0;25105.0;0.19999999999999998;0.6;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;-0.1
Fars;Loss;5-anonymity;RGR;1.0;31652.0;0.43749999999999994;1.0;0.5;0.6666666666666666;0.6666666666666666;0.0;0.0;0.6666666666666666;0.0;-0.1
Fars;Loss;5-anonymity;RGR;1.0;32339.0;0.6041666666666666;1.0;0.5;0.6666666666666666;0.6666666666666666;0.0;1.0;1.0;0.0;-0.1
Fars;Loss;5-anonymity;RGR;1.0;32527.0;0.8333333333333333;1.0;1.0;0.6666666666666666;1.0;0.0;1.0;1.0;1.0;-0.1
Atus;Discernibility;5-anonymity;RGR;0.02;26500.0;0.5555555555555556;0.0;1.0;0.0;0.5;0.5;1.0;1.0;0.0;1.0
Atus;Discernibility;5-anonymity;RGR;0.02;26594.0;0.7037037037037037;0.5;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0
Atus;Discernibility;5-anonymity;RGR;0.02;26687.0;0.5555555555555556;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
Atus;Discernibility;5-anonymity;RGR;0.05;34223.0;0.5555555555555556;0.0;1.0;0.0;0.5;0.5;1.0;1.0;0.0;1.0
Atus;Discernibility;5-anonymity;RGR;0.05;34332.0;0.7037037037037037;0.5;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0
Atus;Discernibility;5-anonymity;RGR;0.05;34426.0;0.5555555555555556;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0
Atus;Discernibility;5-anonymity;RGR;0.1;49740.0;0.5555555555555556;0.0;1.0;0.0;0.5;0.5;1.0;1.0;0.0;1.0
Atus;Discernibility;5-anonymity;RGR;0.1;49881.0;0.7037037037037037;0.5;1.0;0.0;1.0;1.0;0.5;1.0;0.3333333333333333;1.0
