;;;;;Privacy Strength;Records;QIs;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;Flash;0.1;5.0;11000.0;9.0;0.3221279300188607;826.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;12000.0;9.0;0.30849944221003617;870.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;13000.0;9.0;0.30306342034123485;907.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;14000.0;9.0;0.3005328796255376;976.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;15000.0;9.0;0.29773471950572195;1001.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;16000.0;9.0;0.29730983810343536;1094.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;17000.0;9.0;0.2951847534005213;1100.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;18000.0;9.0;0.29310770460041746;1241.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;19000.0;9.0;0.2909938959357822;1222.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;20000.0;9.0;0.2884444862835825;1376.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;21000.0;9.0;0.29275917920175815;1408.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;22000.0;9.0;0.29031443129580403;1510.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;23000.0;9.0;0.2661282869549522;1342.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;24000.0;9.0;0.2645680495260052;1513.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;25000.0;9.0;0.26302118026650734;1550.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;26000.0;9.0;0.2612048426508219;1679.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;27000.0;9.0;0.26022723083495575;1843.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;28000.0;9.0;0.2580088199367118;1831.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;29000.0;9.0;0.2558391055170087;1871.0
Adult;Loss;5-anonymity;Flash;0.1;5.0;30000.0;9.0;0.255218763943235;1881.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;1001.0;9.0;0.22703159624680253;198.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;2001.0;9.0;0.18208173144208767;556.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;3001.0;9.0;0.16207762521812763;1203.0
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;4001.0;9.0;0.1443381167346813;2968.0
