;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Atus;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;539253;9;0.1099487364;18365.0;34554.0;0.0640775295;0.0196573879;0.0042382462
Atus;Loss;10-anonymity;Flash;0.2;0.5;0.0;10;539253;9;0.1099487364;24581.0;34554.0;0.0640775295;0.0196573879;0.0042382462
Atus;Loss;10-anonymity;Flash;0.3;0.5;0.0;10;539253;9;0.1099487364;27049.0;34554.0;0.0640775295;0.0196573879;0.0042382462
Atus;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;539253;9;0.1099487364;27020.0;34554.0;0.0640775295;0.0196573879;0.0042382462
Atus;Loss;10-anonymity;Flash;0.999;0.5;0.0;10;539253;9;0.1099487364;28115.0;34554.0;0.0640775295;0.0196573879;0.0042382462
Ihis;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;1193504;9;0.150705442;77969.0;32911.0;0.0275751066;0.006512501;0.0
Ihis;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;1193504;9;0.150705442;88465.0;32911.0;0.0275751066;0.006512501;0.0
Ihis;Loss;10-anonymity;Flash;0.2;0.5;0.0;10;1193504;9;0.150705442;125478.0;32911.0;0.0275751066;0.006512501;0.0
Ihis;Loss;10-anonymity;Flash;0.3;0.5;0.0;10;1193504;9;0.150705442;163252.0;32911.0;0.0275751066;0.006512501;0.0
Ihis;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;1193504;9;0.150705442;288741.0;32911.0;0.0275751066;0.006512501;0.0
Ihis;Loss;10-anonymity;Flash;0.999;0.5;0.0;10;1193504;9;0.150705442;284043.0;32911.0;0.0275751066;0.006512501;0.0
Fars;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;100937;8;0.2015359602;4744.0;9.0;8.91645E-5;0.0037484318;0.003729513
Fars;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;100937;8;0.1626237931;5026.0;9.0;8.91645E-5;0.0049135427;0.0048921678
Fars;Loss;25-anonymity;RGR;0.2;0.0;0.05;25;100937;8;0.1412665103;5610.0;18.0;1.783291E-4;0.0095609686;0.0095156978
Fars;Loss;25-anonymity;RGR;0.3;0.0;0.05;25;100937;8;0.1225991116;5923.0;0.0;0.0;0.0139512374;0.0139512374
Fars;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;100937;8;0.0688643034;36185.0;0.0;0.0;0.0198503544;0.0198503544
Fars;Loss;25-anonymity;RGR;0.999;0.0;0.05;25;100937;8;0.0670105481;145580.0;20.0;1.981434E-4;0.0213360905;0.0212701795
Atus;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;539253;9;0.14064661;23226.0;24.0;4.4506E-5;0.0061893124;0.0061815163
Atus;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;539253;9;0.0837209299;20919.0;32.0;5.93413E-5;0.0078128346;0.0077996266
Atus;Loss;25-anonymity;RGR;0.2;0.0;0.05;25;539253;9;0.0589831678;25421.0;12.0;2.2253E-5;0.0215221768;0.0215163304
Atus;Loss;25-anonymity;RGR;0.3;0.0;0.05;25;539253;9;0.0467117654;23312.0;10.0;1.85442E-5;0.0245658155;0.0245608019
Atus;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;539253;9;0.0292565054;203885.0;8.0;1.48353E-5;0.021735066;0.0217306075
Atus;Loss;25-anonymity;RGR;0.999;0.0;0.05;25;539253;9;0.02736422;2055210.0;5.0;9.2721E-6;0.0206241517;0.0206213256
Ihis;Loss;25-anonymity;RGR;0.05;0.0;0.05;25;1193504;9;0.1556319551;82151.0;0.0;0.0;0.0021507133;0.0021507133
Ihis;Loss;25-anonymity;RGR;0.1;0.0;0.05;25;1193504;9;0.127413992;81911.0;0.0;0.0;0.0057089636;0.0057089636
Ihis;Loss;25-anonymity;RGR;0.2;0.0;0.05;25;1193504;9;0.097594163;86725.0;8.0;6.703E-6;0.0090100341;0.0090086385
Ihis;Loss;25-anonymity;RGR;0.3;0.0;0.05;25;1193504;9;0.0774803825;86659.0;20.0;1.67574E-5;0.0080348778;0.0080308298
