;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;50-anonymity;RGR;1.0;0.175;0.01;50;30162;9;0.2012676816;7785.0;83.0;0.0027518069;8.601389E-4;6.69239E-4;7.0
Adult;Loss;50-anonymity;RGR;1.0;0.2;0.01;50;30162;9;0.2012676816;8099.0;83.0;0.0027518069;8.601389E-4;6.69239E-4;7.0
Adult;Loss;50-anonymity;RGR;1.0;0.225;0.01;50;30162;9;0.2012676816;8430.0;83.0;0.0027518069;8.601389E-4;6.69239E-4;7.0
Adult;Loss;50-anonymity;RGR;1.0;0.25;0.01;50;30162;9;0.2142106209;8265.0;61.0;0.0020224123;0.0012340438;0.0010956242;6.0
Adult;Loss;50-anonymity;RGR;1.0;0.275;0.01;50;30162;9;0.2374177743;7166.0;114.0;0.0037795902;8.928987E-4;6.352661E-4;5.0
Adult;Loss;50-anonymity;RGR;1.0;0.3;0.01;50;30162;9;0.2374177743;7332.0;114.0;0.0037795902;8.928987E-4;6.352661E-4;5.0
Adult;Loss;50-anonymity;RGR;1.0;0.325;0.01;50;30162;9;0.2374177743;7536.0;114.0;0.0037795902;8.928987E-4;6.352661E-4;5.0
Adult;Loss;50-anonymity;RGR;1.0;0.35;0.01;50;30162;9;0.2374177743;7633.0;114.0;0.0037795902;8.928987E-4;6.352661E-4;5.0
Adult;Loss;50-anonymity;RGR;1.0;0.375;0.01;50;30162;9;0.2374177743;7753.0;114.0;0.0037795902;8.928987E-4;6.352661E-4;5.0
Adult;Loss;50-anonymity;RGR;1.0;0.4;0.01;50;30162;9;0.2374177743;7851.0;114.0;0.0037795902;8.928987E-4;6.352661E-4;5.0
Adult;Loss;50-anonymity;RGR;1.0;0.425;0.01;50;30162;9;0.2675029157;7243.0;14.0;4.641602E-4;5.371013E-4;5.078324E-4;4.0
Adult;Loss;50-anonymity;RGR;1.0;0.45;0.01;50;30162;9;0.2675029157;7289.0;14.0;4.641602E-4;5.371013E-4;5.078324E-4;4.0
