;;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Suppressed;Suppressed Ratio;Variance;Variance (not suppressed)
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression Limit;Suppression Weight;Value;Value;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;1.0;0.0;5.0;30162.0;9.0;0.09540384440797986;13032.2;2.0;6.630860022544923E-5;0.027267508232116613;0.027250536717768874
Adult;Loss;5-anonymity;RGR;1.0;0.05;5.0;30162.0;9.0;0.0988822035917359;12749.0;2.0;6.630860022544923E-5;0.021458836228248727;0.021442007446680712
Adult;Loss;5-anonymity;RGR;1.0;0.1;5.0;30162.0;9.0;0.10100515118344397;12941.0;2.0;6.630860022544923E-5;0.02005415740719579;0.020037195618093022
Adult;Loss;5-anonymity;RGR;1.0;0.15;5.0;30162.0;9.0;0.11629466462395448;11337.4;4.0;1.3261720045089847E-4;0.016095108722201643;0.01606358525657799
Adult;Loss;5-anonymity;RGR;1.0;0.2;5.0;30162.0;9.0;0.13687843973203018;9900.0;2.0;6.630860022544923E-5;0.009659623211166651;0.009644177566497457
Adult;Loss;5-anonymity;RGR;1.0;0.25;5.0;30162.0;9.0;0.15421764189238168;8096.4;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;1.0;0.3;5.0;30162.0;9.0;0.15421764189238168;8538.4;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;1.0;0.35;5.0;30162.0;9.0;0.15421764189238168;8945.0;0.0;0.0;0.007603212619579566;0.007603212619579566
Adult;Loss;5-anonymity;RGR;1.0;0.4;5.0;30162.0;9.0;0.18526264785830918;8340.8;0.0;0.0;0.00541667634573173;0.00541667634573173
Adult;Loss;5-anonymity;RGR;1.0;0.45;5.0;30162.0;9.0;0.21123855066316785;7766.4;3.0;9.946290033817386E-5;0.005406852061093394;0.005390511969890075
Adult;Loss;5-anonymity;RGR;1.0;0.5;5.0;30162.0;9.0;0.21310775428150958;7622.6;3.0;9.946290033817386E-5;0.0036411253866572985;0.0036244309930186474
