;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Fars;NMEntropy;5-anonymity;RGR;0.1;0.0;0.01;5;100937;8;0.3609678369;4921.0;0.0;0.0;6.555023E-4;6.555023E-4;10.0
Fars;NMEntropy;10-anonymity;RGR;0.05;0.0;0.01;10;100937;8;0.4544934771;4759.0;0.0;0.0;3.963031E-4;3.963031E-4;6.0
Fars;NMEntropy;10-anonymity;RGR;0.1;0.0;0.01;10;100937;8;0.4100587559;5716.0;0.0;0.0;0.0010699346;0.0010699346;10.0
Fars;NMEntropy;25-anonymity;RGR;0.05;0.0;0.01;25;100937;8;0.5205294449;4601.0;0.0;0.0;5.165255E-4;5.165255E-4;6.0
Fars;NMEntropy;25-anonymity;RGR;0.1;0.0;0.01;25;100937;8;0.4646503036;6401.0;0.0;0.0;6.163193E-4;6.163193E-4;10.0
Fars;NMEntropy;50-anonymity;RGR;0.05;0.0;0.01;50;100937;8;0.5643271247;4009.0;0.0;0.0;3.76353E-4;3.76353E-4;6.0
Fars;NMEntropy;50-anonymity;RGR;0.1;0.0;0.01;50;100937;8;0.5151153416;6210.0;0.0;0.0;5.907159E-4;5.907159E-4;10.0
Atus;NMEntropy;5-anonymity;RGR;0.05;0.0;0.01;5;539253;9;0.2155323443;10191.0;0.0;0.0;0.0011834706;0.0011834706;6.0
Atus;NMEntropy;5-anonymity;RGR;0.1;0.0;0.01;5;539253;9;0.1383614845;14475.0;0.0;0.0;0.0016691264;0.0016691264;11.0
Atus;NMEntropy;10-anonymity;RGR;0.05;0.0;0.01;10;539253;9;0.2628764258;12788.0;0.0;0.0;0.0011833233;0.0011833233;6.0
Atus;NMEntropy;10-anonymity;RGR;0.1;0.0;0.01;10;539253;9;0.1967849996;22908.0;0.0;0.0;0.0022566534;0.0022566534;11.0
Atus;NMEntropy;25-anonymity;RGR;0.05;0.0;0.01;25;539253;9;0.3296411625;15663.0;0.0;0.0;0.0016373559;0.0016373559;6.0
Atus;NMEntropy;25-anonymity;RGR;0.1;0.0;0.01;25;539253;9;0.2603246053;30475.0;0.0;0.0;0.0024127053;0.0024127053;10.0
Atus;NMEntropy;50-anonymity;RGR;0.05;0.0;0.01;50;539253;9;0.3600470619;17368.0;0.0;0.0;0.0019011181;0.0019011181;6.0
Atus;NMEntropy;50-anonymity;RGR;0.1;0.0;0.01;50;539253;9;0.3084502911;35772.0;0.0;0.0;0.0026254629;0.0026254629;10.0
Ihis;NMEntropy;5-anonymity;RGR;0.05;0.0;0.01;5;1193504;9;0.3299282728;50802.0;0.0;0.0;0.0022104527;0.0022104527;6.0
Ihis;NMEntropy;5-anonymity;RGR;0.1;0.0;0.01;5;1193504;9;0.3030777155;76365.0;0.0;0.0;0.0028228761;0.0028228761;10.0
Ihis;NMEntropy;10-anonymity;RGR;0.05;0.0;0.01;10;1193504;9;0.3701185977;58848.0;0.0;0.0;0.0018113997;0.0018113997;6.0
Ihis;NMEntropy;10-anonymity;RGR;0.1;0.0;0.01;10;1193504;9;0.3411729082;90988.0;0.0;0.0;0.0030504664;0.0030504664;10.0
Ihis;NMEntropy;25-anonymity;RGR;0.05;0.0;0.01;25;1193504;9;0.4219818661;65757.0;0.0;0.0;8.564281E-4;8.564281E-4;6.0
Ihis;NMEntropy;25-anonymity;RGR;0.1;0.0;0.01;25;1193504;9;0.4117203527;136879.0;0.0;0.0;0.0055258506;0.0055258506;11.0
Ihis;NMEntropy;50-anonymity;RGR;0.05;0.0;0.01;50;1193504;9;0.4627865117;68769.0;0.0;0.0;5.502601E-4;5.502601E-4;5.0
Ihis;NMEntropy;50-anonymity;RGR;0.1;0.0;0.01;50;1193504;9;0.4519886439;144403.0;0.0;0.0;0.0039705547;0.0039705547;11.0
Adult;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;30162;9;0.2429155711;1235.0;1383.0;0.0458523971;0.0031201437;0.0;2.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;9;0.2212867446;1677.0;2584.0;0.0856707115;0.0056308049;0.0;2.0
Cup;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;63441;8;0.139689361;7648.0;2578.0;0.0406361816;5.359524E-4;0.0;2.0
Cup;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;63441;8;0.139689361;8204.0;2578.0;0.0406361816;5.359524E-4;0.0;2.0
Fars;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;100937;8;0.1539898767;4219.0;4597.0;0.0455432597;0.001228271;1.0408E-6;2.0
Fars;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;100937;8;0.1528537804;4380.0;6438.0;0.0637823593;0.0016937787;1.0134E-6;2.0
Atus;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;539253;9;0.0869412567;11449.0;24177.0;0.0448342429;0.0037389537;0.0010511741;2.0
Atus;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;539253;9;0.0869412567;12368.0;24177.0;0.0448342429;0.0037389537;0.0010511741;2.0
Ihis;Loss;5-anonymity;Flash;0.05;0.5;0.0;5;1193504;9;0.1322433958;66971.0;56015.0;0.0469332319;0.0037968819;0.0;2.0
Ihis;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;1193504;9;0.1288360138;81141.0;84659.0;0.0709331515;0.0058136342;0.0;2.0
Adult;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;30162;9;0.2929052156;1191.0;1501.0;0.0497646045;0.0030507873;0.0;2.0
Adult;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;30162;9;0.2661672989;1528.0;2656.0;0.0880578211;0.0052263068;0.0;2.0
Cup;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;63441;8;0.180421208;8059.0;2007.0;0.031635693;1.867084E-4;0.0;2.0
Cup;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;63441;8;0.1759391395;8898.0;5127.0;0.0808152457;0.0010212359;0.0;2.0
Fars;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;100937;8;0.1882839059;4546.0;4929.0;0.04883244;0.0012120711;0.0;2.0
Fars;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;100937;8;0.1824133903;4778.0;5520.0;0.0546875774;0.00145852;9.047E-7;2.0
Atus;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;539253;9;0.1149066453;14944.0;25336.0;0.0469835124;0.0027273174;4.98698E-5;2.0
Atus;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;539253;9;0.1099487364;15723.0;34554.0;0.0640775295;0.0043410738;6.20377E-4;2.0
Ihis;Loss;10-anonymity;Flash;0.05;0.5;0.0;10;1193504;9;0.150705442;74297.0;32911.0;0.0275751066;0.0023630025;0.0;2.0
Ihis;Loss;10-anonymity;Flash;0.1;0.5;0.0;10;1193504;9;0.150705442;82359.0;32911.0;0.0275751066;0.0023630025;0.0;2.0
Adult;Loss;25-anonymity;Flash;0.05;0.5;0.0;25;30162;9;0.3606907354;931.0;1345.0;0.0445925337;0.0027481229;0.0;2.0
Adult;Loss;25-anonymity;Flash;0.1;0.5;0.0;25;30162;9;0.323032616;1314.0;2660.0;0.0881904383;0.005187831;0.0;2.0
Cup;Loss;25-anonymity;Flash;0.05;0.5;0.0;25;63441;8;0.2195404047;7733.0;3154.0;0.0497154837;6.489036E-4;0.0;2.0
Cup;Loss;25-anonymity;Flash;0.1;0.5;0.0;25;63441;8;0.2062545545;8238.0;3917.0;0.0617424063;3.530639E-4;0.0;2.0
Fars;Loss;25-anonymity;Flash;0.05;0.5;0.0;25;100937;8;0.2255108383;4676.0;4631.0;0.0458801034;0.0011356317;0.0;2.0
Fars;Loss;25-anonymity;Flash;0.1;0.5;0.0;25;100937;8;0.2157558739;4759.0;6456.0;0.0639606884;0.0016680304;4.587E-7;2.0
Atus;Loss;25-anonymity;Flash;0.05;0.5;0.0;25;539253;9;0.1675216678;20831.0;26526.0;0.0491902688;0.0022884786;4.827427E-4;2.0
Atus;Loss;25-anonymity;Flash;0.1;0.5;0.0;25;539253;9;0.1432237768;20716.0;47655.0;0.0883722483;0.00487134;5.38718E-5;2.0
Ihis;Loss;25-anonymity;Flash;0.05;0.5;0.0;25;1193504;9;0.1834824569;77214.0;49076.0;0.0411192589;0.0034717738;0.0;2.0
Ihis;Loss;25-anonymity;Flash;0.1;0.5;0.0;25;1193504;9;0.1772733048;78292.0;67784.0;0.0567941121;0.0047206384;0.0;2.0
Adult;Loss;50-anonymity;Flash;0.05;0.5;0.0;50;30162;9;0.4101268262;725.0;1079.0;0.0357734898;0.0022100069;0.0;2.0
Adult;Loss;50-anonymity;Flash;0.1;0.5;0.0;50;30162;9;0.3761950703;1041.0;2752.0;0.0912406339;0.0053133174;0.0;2.0
Cup;Loss;50-anonymity;Flash;0.05;0.5;0.0;50;63441;8;0.2577958594;6259.0;2150.0;0.0338897558;1.991367E-4;0.0;2.0
Cup;Loss;50-anonymity;Flash;0.1;0.5;0.0;50;63441;8;0.2540126599;7386.0;3904.0;0.0615374915;2.04646E-4;0.0;2.0
Fars;Loss;50-anonymity;Flash;0.05;0.5;0.0;50;100937;8;0.278069186;4076.0;4398.0;0.0435717329;0.001080583;0.0;2.0
Fars;Loss;50-anonymity;Flash;0.1;0.5;0.0;50;100937;8;0.2472326239;4690.0;7214.0;0.0714703231;0.0017215979;0.0;2.0
Atus;Loss;50-anonymity;Flash;0.05;0.5;0.0;50;539253;9;0.2217427924;21360.0;25302.0;0.0469204622;0.0014355939;4.97298E-5;2.0
Atus;Loss;50-anonymity;Flash;0.1;0.5;0.0;50;539253;9;0.1754083435;21623.0;48350.0;0.0896610682;0.0048474288;5.16625E-5;2.0
Ihis;Loss;50-anonymity;Flash;0.05;0.5;0.0;50;1193504;9;0.2163466013;78371.0;55604.0;0.0465888677;0.0037630839;0.0;2.0
